"Story","Title","Result","Date","Stability","Duration (s)"
"Booking crud test","Extracting a List of Ids before creating new record","SUCCESS","2022-01-11T23:41:38.779Z[Europe/London]","0.0","0.69"
"Booking crud test","Creating a new booking using POST method","SUCCESS","2022-01-11T23:41:39.500Z[Europe/London]","0.0","0.61"
"Booking crud test","Extracting ID and Finding the new booking by id to verify if it exists in the application","SUCCESS","2022-01-11T23:41:40.113Z[Europe/London]","0.0","1.12"
"Booking crud test","Updating the newly created record with ID and verifying it by extracting id with updated firstname as query parameter","SUCCESS","2022-01-11T23:41:41.236Z[Europe/London]","0.0","1.63"
"Booking crud test","Delete the newly created record with ID","SUCCESS","2022-01-11T23:41:42.870Z[Europe/London]","0.0","1.08"
"Booking delete request","Deletes a booking with ID","FAILURE","2022-01-11T23:41:46.324Z[Europe/London]","0.0","0.56"
"Booking get request","Get booking by Id","SUCCESS","2022-01-11T23:41:46.920Z[Europe/London]","0.0","0.5"
"Booking get request","Get All Ids","SUCCESS","2022-01-11T23:41:47.419Z[Europe/London]","0.0","0.5"
"Booking patch request","Updating a current booking with partial payload","FAILURE","2022-01-11T23:41:47.945Z[Europe/London]","0.0","0.55"
"Booking post request","Creating a new booking in the API","SUCCESS","2022-01-11T23:41:48.516Z[Europe/London]","0.0","0.61"
"Booking put request","Updating a current booking","FAILURE","2022-01-11T23:41:49.144Z[Europe/London]","0.0","0.49"
